I
9.5
9.77
9.39
9.18
9.36
9.69
9.42
9.54
10.08
10.41
11.11
11.34
11.56
11.47
11.29
10.38
9.18
8.6
8.14
8.69
9.02
8.49
7.92
7.44
7.64
7.81
7.93
7.88
7.81
7.8
7.82
7.69
7.24
6.6
6.65
6.73
6.37
5.92
5.71
5.69
5.76
6.04
5.87
6.1
6.17
6.52
6.99
6.94
6.7
6.75
7.37
8.02
7.24
7.66
6.92
6.6
6.63
6.92
7.24
7.51
7.94
8.35
8.23
8.36
8.78
9.25
9.2
9.51
10.09
9.94
9.59
9.2
8.76
8.64
8.78
8.6
8.39
8.32
8.16
8.22
8.35
8.42
8.35
8.23
8.1
7.97
8.06
8.06
8.03
7.82
7.17
6.52
6.45
6.06
5.91
6.07
5.98
5.65
5.47
5.33
4.94
4.47
4.05
4.07
4.25
4
3.82
3.86
3.37
3.31
3.13
3.26
3.58
3.48
3.19
3.12
3.11
3.09
3.1
3.21
3.16
3.14
3.12
3.24
3.35
3.26
3.15
3.43
3.77
4.01
4.51
4.52
4.73
4.81
5.03
5.51
5.79
6.29
6.24
6.16
6.15
6.11
6.02
5.9
5.77
5.77
5.73
5.79
5.74
5.62
5.39
5.15
5.29
5.36
5.36
5.46
5.53
5.4
5.51
5.41
5.38
5.44
5.43
5.37
5.53
5.71
5.7
5.66
5.6
5.6
5.6
5.65
5.74
5.8
5.54
5.54
5.58
5.58
5.59
5.6
5.59
5.58
5.41
5.21
5.24
5.14
4.89
4.9
4.91
4.88
4.92
5.13
5.24
5.41
5.5
6.13
6
6.05
5.95
6.01
6.14
6.28
6.71
6.73
6.67
6.61
6.6
6.67
6.65
6.45
5.62
5.26
4.89
4.53
4.02
3.74
3.66
3.48
2.87
2.31
2.03
1.83
1.74
1.82
1.91
1.87
1.82
1.81
1.79
1.73
1.76
1.73
1.39
1.34
1.29
1.27
1.23
1.24
1.22
1.04
1.05
1.08
1.08
1.1
1.11
1.1
1.06
1.05
1.05
1.08
1.2
1.46
1.57
1.68
1.86
2.04
2.26
2.45
2.61
2.77
2.97
3.09
3.22
3.38
3.57
3.77
3.87
4.13
4.31
4.45
4.56
4.72
4.88
5.03
5.15
5.35
5.46
5.38
5.34
5.33
5.32
5.32
5.32
5.31
5.3
5.31
5.31
5.33
5.32
5.49
5.46
5.08
4.97
5.02
3.84
3.06
2.79
2.85
2.66
2.76
2.79
2.79
